"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 27 17:20:27 UTC 2026","Thu Aug 27 17:20:27 UTC 2026","116","tests","test_users","TestUsers","","","test_status_code_check",""
"passed","Thu Aug 27 17:20:27 UTC 2026","Thu Aug 27 17:20:27 UTC 2026","114","tests","test_todos","TestTodos","","","test_get_all_todos_count","Verify that all todos are fetched successfully."
"passed","Thu Aug 27 17:20:27 UTC 2026","Thu Aug 27 17:20:27 UTC 2026","61","tests","test_users","TestUsers","","","test_create_user_flow",""
"passed","Thu Aug 27 17:20:27 UTC 2026","Thu Aug 27 17:20:27 UTC 2026","35","tests","test_users","TestUsers","","","test_user_names[3-Clementine Bauch]",""
"passed","Thu Aug 27 17:20:26 UTC 2026","Thu Aug 27 17:20:26 UTC 2026","136","tests","test_posts","TestPost","","","test_update_post_fully","Verify that a post can be fully updated using PUT."
"passed","Thu Aug 27 17:20:27 UTC 2026","Thu Aug 27 17:20:27 UTC 2026","111","tests","test_todos","TestTodos","","","test_filter_completed_todos","Verify that filtering by completed=true only returns completed todos."
"passed","Thu Aug 27 17:20:26 UTC 2026","Thu Aug 27 17:20:26 UTC 2026","115","tests","test_photos","TestPhotos","","","test_specific_photo_titles[2-reprehenderit est deserunt velit ipsam]","Data-driven test for photo titles."
"passed","Thu Aug 27 17:20:26 UTC 2026","Thu Aug 27 17:20:27 UTC 2026","69","tests","test_posts","TestPost","","","test_partially_update_post","Verify that a post can be partially updated using PUT."
"passed","Thu Aug 27 17:20:25 UTC 2026","Thu Aug 27 17:20:25 UTC 2026","158","tests","test_comments","TestComments","","","test_get_comments_by_post_filter","Verify filtering comments by post_id (Query Param)."
"passed","Thu Aug 27 17:20:26 UTC 2026","Thu Aug 27 17:20:26 UTC 2026","57","tests","test_photos","TestPhotos","","","test_create_photo","Create a new photo."
"passed","Thu Aug 27 17:20:25 UTC 2026","Thu Aug 27 17:20:25 UTC 2026","58","tests","test_comments","TestComments","","","test_delete_comment_flow","Verify deleting a comment."
"passed","Thu Aug 27 17:20:24 UTC 2026","Thu Aug 27 17:20:24 UTC 2026","231","tests","test_albums","TestAlbums","","","test_get_all_albums_status","Verify that fetching all albums returns 200."
"passed","Thu Aug 27 17:20:25 UTC 2026","Thu Aug 27 17:20:25 UTC 2026","43","tests","test_comments","TestComments","","","test_get_comment_by_id[5-Hayden@althea.biz]","Verify comment data for specific IDs."
"passed","Thu Aug 27 17:20:26 UTC 2026","Thu Aug 27 17:20:26 UTC 2026","143","tests","test_posts","TestPost","","","test_get_non_existing_post",""
"passed","Thu Aug 27 17:20:25 UTC 2026","Thu Aug 27 17:20:25 UTC 2026","97","tests","test_comments","TestComments","","","test_update_comment_fully","Verify full update of a comment using PUT."
"passed","Thu Aug 27 17:20:24 UTC 2026","Thu Aug 27 17:20:24 UTC 2026","33","tests","test_albums","TestAlbums","","","test_album_titles[2-sunt qui excepturi placeat culpa]","Verify the title of specific albums (Data Driven)."
"passed","Thu Aug 27 17:20:24 UTC 2026","Thu Aug 27 17:20:24 UTC 2026","31","tests","test_albums","TestAlbums","","","test_album_titles[1-quidem molestiae enim]","Verify the title of specific albums (Data Driven)."
"passed","Thu Aug 27 17:20:26 UTC 2026","Thu Aug 27 17:20:26 UTC 2026","42","tests","test_photos","TestPhotos","","","test_specific_photo_titles[1-accusamus beatae ad facilis cum similique qui sunt]","Data-driven test for photo titles."
